Station Name,Measurement Timestamp,Air Temperature,Wet Bulb Temperature,Humidity,Rain Intensity,Interval Rain,Total Rain,Precipitation Type,Wind Direction,Wind Speed,Maximum Wind Speed,Barometric Pressure,Solar Radiation,Heading,Battery Life,Measurement Timestamp Label,Measurement ID
63rdStreetWeatherStation,04/25/2016 09:00:00 AM,7.00,5.9,86,7.2,5.00,5.2,60,119,5.1,7.1,986.1,38,354,12.0,04/25/2016 9:00 AM,63rdStreetWeatherStation201504250900
63rdStreetWeatherStation,04/30/2016 05:00:00 AM,6.10,4.3,76,0.0,0.00,2.5,0,11,7.2,13.0,989.9,4,354,11.9,04/30/2016 5:00 AM,63rdStreetWeatherStation201504300500
63rdStreetWeatherStation,06/22/2016 09:00:00 AM,25.40,23.4,85,0.0,0.00,207.7,0,223,2.3,5.3,989.9,327,355,11.9,06/22/2016 9:00 AM,63rdStreetWeatherStation201506220900
63rdStreetWeatherStation,06/22/2016 10:00:00 AM,26.40,23.9,81,0.0,0.00,207.7,0,245,5.6,8.8,990.9,106,355,12.0,06/22/2016 10:00 AM,63rdStreetWeatherStation201506221000
63rdStreetWeatherStation,06/22/2016 11:00:00 AM,25.90,23.8,84,0.0,0.00,207.7,0,217,2.1,5.1,990.5,40,355,11.9,06/22/2016 11:00 AM,63rdStreetWeatherStation201506221100
63rdStreetWeatherStation,06/22/2016 12:00:00 PM,26.00,24.3,87,2.4,0.50,208.2,60,258,4.5,6.7,992.4,22,355,12.0,06/22/2016 12:00 PM,63rdStreetWeatherStation201506221200
63rdStreetWeatherStation,06/22/2016 01:00:00 PM,24.70,23.2,89,0.6,3.90,212.1,60,73,0.7,1.4,990.0,164,355,11.8,06/22/2016 1:00 PM,63rdStreetWeatherStation201506221300
63rdStreetWeatherStation,06/22/2016 02:00:00 PM,26.20,24.3,85,0.0,0.00,212.1,0,204,3.7,6.1,988.0,429,354,12.0,06/22/2016 2:00 PM,63rdStreetWeatherStation201506221400
63rdStreetWeatherStation,06/22/2016 03:00:00 PM,27.60,24.1,75,0.0,0.00,212.1,0,210,6.0,10.6,985.2,391,355,11.9,06/22/2016 3:00 PM,63rdStreetWeatherStation201506221500
63rdStreetWeatherStation,06/22/2016 04:00:00 PM,27.70,24.5,77,0.0,0.00,212.1,0,214,5.5,12.4,984.1,193,355,11.9,06/22/2016 4:00 PM,63rdStreetWeatherStation201506221600
63rdStreetWeatherStation,06/22/2016 05:00:00 PM,28.60,25.2,76,0.0,0.00,212.1,0,235,6.6,12.4,984.7,351,355,11.9,06/22/2016 5:00 PM,63rdStreetWeatherStation201506221700
63rdStreetWeatherStation,06/22/2016 06:00:00 PM,28.80,25.5,77,0.0,0.00,212.1,0,220,6.2,12.1,983.7,103,356,12.0,06/22/2016 6:00 PM,63rdStreetWeatherStation201506221800
63rdStreetWeatherStation,06/22/2016 07:00:00 PM,29.20,25.8,77,0.0,0.00,212.1,0,251,4.4,6.7,984.9,16,355,12.0,06/22/2016 7:00 PM,63rdStreetWeatherStation201506221900
